id,V1,V2,V3,V4,V5,V6,V7,Channel,Region
1,3,1.002853749786223,1.309823500564001,0.7965355171737738,0.044131413679459566,0.5614776740643534,0.47499033046862177,1,3
2,3,0.558618589647279,1.3307133948356307,1.0079687644912931,0.3633623873981671,0.6914532463328033,0.6304804386489329,1,3
3,3,0.5028912994231491,1.1947934334059362,0.8094933096102735,0.49596284999579565,0.7382780486201446,2.7846219373661203,1,3
4,3,1.0500319670782423,0.16223580226538373,0.44467351117451387,1.32064286543579,0.10645818277884338,0.6347404416127771,0,3
5,3,1.790160040367467,0.7338592727890685,0.7582942273002016,0.8073574044630103,0.37312858145563055,1.840676280627656,1,3
6,3,0.7451150324996226,1.1203223168142176,0.5400133660934751,0.13734355846037416,0.3769081619093173,0.5151053583781541,1,3
7,3,0.9598709108775548,0.433940076460671,0.7348016442649217,0.09898634843990932,0.6593268124764659,0.19347513460792143,1,3
8,3,0.5999391088191479,0.6722747792869914,0.9930093618410253,0.3441837823879347,0.6973325937052048,0.9109306337686722,1,3
9,3,0.4720196471683044,0.49484632664224065,0.6523142338764724,0.0876441626811697,0.3603200032514699,0.26625018524025884,0,3
10,3,0.47542344472460785,1.5047506308778442,1.9890738129556969,0.23901078717053104,1.5590769371457833,0.7447905181787507,1,3
11,3,0.26644610638412086,0.732909732140358,1.3667837322857481,0.9073748606991687,1.2550306873158716,0.6191204307453485,1,3
12,3,1.0406121552363794,0.15246909845007633,0.4764885787828302,0.2928346141347317,0.11527720383744579,0.17643512275254486,1,3
13,3,2.510419434897804,1.6710558930662727,1.2385753306985927,0.059185587504695776,0.814919541153237,1.0405057239189315,1,3
14,3,1.6794970407462544,0.8421069067420587,1.5783223275092553,0.6382557258781653,1.4083136723820564,0.2137101486861811,1,3
15,3,1.9514842129197063,1.283914605720616,1.2737615312985187,0.06062913841944446,1.062062107485976,0.7696405354678415,1,3
16,3,0.8116078219715958,0.15111261180906144,0.4025343487793929,0.08186995902217499,0.20241753096411247,0.14626010175864884,0,3
17,3,0.0807412443588245,1.1958786227187483,1.2769219684781528,0.027633688939474682,0.9465749269566587,0.3834002667459727,1,3
18,3,0.46513289397299296,0.8351888248728826,0.30898540826222437,0.1730198882105915,0.07769137599244981,1.5896911060078387,0,3
19,3,1.472419496390681,0.8582490977701361,1.0639085025708164,0.4547185381458334,0.5810055064084017,1.1292557856656844,1,3
20,3,0.6158498834427987,0.33844341693322105,0.9970125822685617,0.13796222313812362,0.5287213101324016,0.1778551237404929,0,3
21,3,1.388907719137191,0.6129963130746396,0.48481106335586654,0.2198321821602986,0.47433734693768675,0.754020524600413,1,3
